participant,age,female,vignette,stem,condition,medium,severity,wrt
1,23,0,1,1,bullying,offline,4,4
1,23,0,2,2,bullying,offline,4,4
1,23,0,3,3,bullying,offline,4,3
1,23,0,4,4,bullying,offline,4,4
1,23,0,5,5,bullying,offline,3,3
1,23,0,6,6,bullying,offline,4,4
1,23,0,7,1,bullying,online,4,4
1,23,0,8,2,bullying,online,3,3
1,23,0,9,3,bullying,online,4,4
1,23,0,10,4,bullying,online,3,3
1,23,0,11,5,bullying,online,3,3
1,23,0,12,6,bullying,online,3,3
1,23,0,13,1,harassment,offline,5,5
1,23,0,14,2,harassment,offline,5,5
1,23,0,15,3,harassment,offline,5,5
1,23,0,16,4,harassment,offline,5,5
1,23,0,17,5,harassment,offline,5,5
1,23,0,18,6,harassment,offline,5,5
1,23,0,19,1,harassment,online,5,5
1,23,0,20,2,harassment,online,5,5
1,23,0,21,3,harassment,online,5,5
1,23,0,22,4,harassment,online,5,5
1,23,0,23,5,harassment,online,5,5
1,23,0,24,6,harassment,online,5,5
2,20,1,1,1,bullying,offline,2,3
2,20,1,2,2,bullying,offline,2,3
2,20,1,3,3,bullying,offline,3,2
2,20,1,4,4,bullying,offline,3,3
2,20,1,5,5,bullying,offline,2,2
2,20,1,6,6,bullying,offline,3,3
2,20,1,7,1,bullying,online,2,2
2,20,1,8,2,bullying,online,2,3
2,20,1,9,3,bullying,online,2,3
2,20,1,10,4,bullying,online,2,2
2,20,1,11,5,bullying,online,2,2
2,20,1,12,6,bullying,online,2,3
2,20,1,13,1,harassment,offline,5,4
2,20,1,14,2,harassment,offline,4,3
2,20,1,15,3,harassment,offline,5,4
2,20,1,16,4,harassment,offline,3,3
2,20,1,17,5,harassment,offline,4,3
2,20,1,18,6,harassment,offline,5,4
2,20,1,19,1,harassment,online,5,5
2,20,1,20,2,harassment,online,5,4
2,20,1,21,3,harassment,online,4,4
2,20,1,22,4,harassment,online,4,4
2,20,1,23,5,harassment,online,4,4
2,20,1,24,6,harassment,online,5,4
3,22,1,1,1,bullying,offline,3,2
3,22,1,2,2,bullying,offline,4,4
3,22,1,3,3,bullying,offline,2,2
3,22,1,4,4,bullying,offline,3,2
3,22,1,5,5,bullying,offline,4,4
3,22,1,6,6,bullying,offline,3,2
3,22,1,7,1,bullying,online,3,3
3,22,1,8,2,bullying,online,4,5
3,22,1,9,3,bullying,online,4,3
3,22,1,10,4,bullying,online,4,3
3,22,1,11,5,bullying,online,4,5
3,22,1,12,6,bullying,online,4,3
3,22,1,13,1,harassment,offline,4,3
3,22,1,14,2,harassment,offline,4,4
3,22,1,15,3,harassment,offline,5,5
3,22,1,16,4,harassment,offline,4,4
3,22,1,17,5,harassment,offline,4,4
3,22,1,18,6,harassment,offline,5,5
3,22,1,19,1,harassment,online,4,3
3,22,1,20,2,harassment,online,4,3
3,22,1,21,3,harassment,online,4,4
3,22,1,22,4,harassment,online,4,3
3,22,1,23,5,harassment,online,4,3
3,22,1,24,6,harassment,online,4,4
4,21,1,1,1,bullying,offline,3,1
4,21,1,2,2,bullying,offline,4,4
4,21,1,3,3,bullying,offline,3,1
4,21,1,4,4,bullying,offline,3,2
4,21,1,5,5,bullying,offline,4,3
4,21,1,6,6,bullying,offline,2,1
4,21,1,7,1,bullying,online,2,1
4,21,1,8,2,bullying,online,4,3
4,21,1,9,3,bullying,online,3,2
4,21,1,10,4,bullying,online,3,2
4,21,1,11,5,bullying,online,3,3
4,21,1,12,6,bullying,online,2,2
